Thread   Start(us)  B/E     Dur(us)  Name/Detail
   259  5637846733  END         248  VerifyKernels
   259  5637846734  BEG        2684  LowerSemanticCF
   259  5637849418  END        2684  LowerSemanticCF
   259  5637849419  BEG       28300  CheckLifetimes
   259  5637850418  BEG           7  (A) SymbolTableAnalysis
   259  5637850426  END           7  (A) SymbolTableAnalysis
   259  5637877719  END       28300  CheckLifetimes
   259  5639558359  BEG        1240  AnnotateKernels
   259  5639559599  END        1240  AnnotateKernels
   259  5639559600  BEG         238  VerifyKernels
   259  5639559838  END         238  VerifyKernels
   259  5639559838  BEG        2963  LowerSemanticCF
   259  5639562801  END        2963  LowerSemanticCF
   259  5639562804  BEG       29222  CheckLifetimes
   259  5639563888  BEG           9  (A) SymbolTableAnalysis
   259  5639563897  END           9  (A) SymbolTableAnalysis
   259  5639592026  END       29222  CheckLifetimes
   259  5641206875  BEG        1173  AnnotateKernels
   259  5641208048  END        1173  AnnotateKernels
   259  5641208049  BEG         224  VerifyKernels
   259  5641208273  END         224  VerifyKernels
   259  5641208273  BEG        2568  LowerSemanticCF
   259  5641210842  END        2568  LowerSemanticCF
   259  5641210843  BEG       28329  CheckLifetimes
   259  5641211985  BEG           8  (A) SymbolTableAnalysis
   259  5641211994  END           8  (A) SymbolTableAnalysis
   259  5641239173  END       28329  CheckLifetimes
   259  5648867569  BEG        1153  AnnotateKernels
   259  5648868723  END        1153  AnnotateKernels
   259  5648868723  BEG         227  VerifyKernels
   259  5648868950  END         227  VerifyKernels
   259  5648868950  BEG        2486  LowerSemanticCF
   259  5648871437  END        2486  LowerSemanticCF
   259  5648871438  BEG       28492  CheckLifetimes
   259  5648872397  BEG           8  (A) SymbolTableAnalysis
   259  5648872406  END           8  (A) SymbolTableAnalysis
   259  5648899930  END       28492  CheckLifetimes
   259  5895180453  BEG        1173  AnnotateKernels
   259  5895181626  END        1173  AnnotateKernels
   259  5895181626  BEG         227  VerifyKernels
   259  5895181854  END         227  VerifyKernels
   259  5895181854  BEG        4242  LowerSemanticCF
   259  5895186096  END        4242  LowerSemanticCF
   259  5895186102  BEG       33107  CheckLifetimes
   259  5895188693  BEG          12  (A) SymbolTableAnalysis
   259  5895188706  END          12  (A) SymbolTableAnalysis
   259  5895219210  END       33107  CheckLifetimes
   259  5909747147  BEG        1206  AnnotateKernels
   259  5909748353  END        1206  AnnotateKernels
   259  5909748354  BEG         234  VerifyKernels
   259  5909748589  END         234  VerifyKernels
   259  5909748589  BEG        2762  LowerSemanticCF
   259  5909751351  END        2762  LowerSemanticCF
   259  5909751354  BEG       29970  CheckLifetimes
   259  5909752633  BEG           8  (A) SymbolTableAnalysis
   259  5909752642  END           8  (A) SymbolTableAnalysis
   259  5909781324  END       29970  CheckLifetimes
   259  5915565106  BEG        1142  AnnotateKernels
   259  5915566248  END        1142  AnnotateKernels
   259  5915566248  BEG         224  VerifyKernels
   259  5915566473  END         224  VerifyKernels
   259  5915566473  BEG        2719  LowerSemanticCF
   259  5915569192  END        2719  LowerSemanticCF
   259  5915569193  BEG       28122  CheckLifetimes
   259  5915570215  BEG           7  (A) SymbolTableAnalysis
   259  5915570223  END           7  (A) SymbolTableAnalysis
   259  5915597316  END       28122  CheckLifetimes
   259  5921799077  BEG        1207  AnnotateKernels
   259  5921800284  END        1207  AnnotateKernels
   259  5921800285  BEG         273  VerifyKernels
   259  5921800558  END         273  VerifyKernels
   259  5921800560  BEG        2698  LowerSemanticCF
   259  5921803258  END        2698  LowerSemanticCF
   259  5921803259  BEG       28065  CheckLifetimes
   259  5921804263  BEG           8  (A) SymbolTableAnalysis
   259  5921804271  END           8  (A) SymbolTableAnalysis
   259  5921831324  END       28065  CheckLifetimes
   259  5922454424  BEG        1133  AnnotateKernels
   259  5922455558  END        1133  AnnotateKernels
   259  5922455558  BEG         225  VerifyKernels
   259  5922455783  END         225  VerifyKernels
   259  5922455784  BEG        2526  LowerSemanticCF
   259  5922458310  END        2526  LowerSemanticCF
   259  5922458311  BEG       28655  CheckLifetimes
   259  5922459288  BEG           7  (A) SymbolTableAnalysis
   259  5922459296  END           7  (A) SymbolTableAnalysis
   259  5922486966  END       28655  CheckLifetimes
   259  5923123621  BEG        2257  AnnotateKernels
   259  5923125879  END        2257  AnnotateKernels
   259  5923125882  BEG         680  VerifyKernels
   259  5923126562  END         680  VerifyKernels
   259  5923126564  BEG        3930  LowerSemanticCF
   259  5923130495  END        3930  LowerSemanticCF
   259  5923130497  BEG       32042  CheckLifetimes
   259  5923131694  BEG           8  (A) SymbolTableAnalysis
   259  5923131702  END           8  (A) SymbolTableAnalysis
   259  5923162540  END       32042  CheckLifetimes
